logged_at,pair,direction,entry_time,entry_price,stop,target,rrr,exit_time,exit_price,exit_reason,pnl,running_trades,running_win_rate_pct,running_pf,running_net_pnl_pct
2026-08-11T11:29:29.123862+00:00,XAUUSD_DERIV,short,2026-03-24T11:00:00+00:00,4408.75500,4442.01000,4351.81000,1.727,2026-03-24T20:00:00+00:00,4442.06000,SL,-75.54,1,0.00,0.000,-0.76
2026-08-11T11:29:29.124247+00:00,XAUUSD_DERIV,short,2026-04-09T09:00:00+00:00,4729.15500,4733.37000,4716.86000,3.087,2026-04-09T10:00:00+00:00,4733.42000,SL,-9.02,2,0.00,0.000,-0.85
2026-08-11T11:29:29.124508+00:00,XAUUSD_DERIV,short,2026-06-12T15:00:00+00:00,4211.66500,4235.61000,4172.97000,1.635,2026-06-15T00:00:00+00:00,4235.66000,SL,-56.97,3,0.00,0.000,-1.42
