hour_start_utc,tick_count
2026-08-04T03:00:00+00:00,2416
2026-08-04T02:00:00+00:00,3083
2026-08-04T00:00:00+00:00,3752
2026-08-04T01:00:00+00:00,3561
2026-08-04T04:00:00+00:00,1353
2026-08-04T05:00:00+00:00,2492
2026-08-04T06:00:00+00:00,3251
2026-08-04T07:00:00+00:00,3957
2026-08-04T08:00:00+00:00,3481
2026-08-04T09:00:00+00:00,3463
2026-08-04T10:00:00+00:00,4776
2026-08-04T11:00:00+00:00,4880
2026-08-04T12:00:00+00:00,4839
2026-08-04T13:00:00+00:00,5639
2026-08-04T14:00:00+00:00,5165
2026-08-04T15:00:00+00:00,3723
2026-08-04T16:00:00+00:00,2647
2026-08-04T17:00:00+00:00,2292
2026-08-04T18:00:00+00:00,3274
2026-08-04T19:00:00+00:00,1865
2026-08-04T20:00:00+00:00,3888
2026-08-04T21:00:00+00:00,1714
2026-08-04T22:00:00+00:00,1255
2026-08-04T23:00:00+00:00,1232
