bar_start_utc,open,high,low,close,tick_count
2026-08-04T03:00:00+00:00,1.34271,1.34314,1.34271,1.34283,251
2026-08-04T03:05:00+00:00,1.342835,1.342835,1.34264,1.342725,165
2026-08-04T03:10:00+00:00,1.34273,1.342875,1.342725,1.34276,177
2026-08-04T03:15:00+00:00,1.34278,1.34296,1.34271,1.34283,176
2026-08-04T03:20:00+00:00,1.34285,1.34308,1.34283,1.343075,204
2026-08-04T03:25:00+00:00,1.343085,1.343145,1.343005,1.343095,211
2026-08-04T03:30:00+00:00,1.34309,1.34322,1.343035,1.343115,185
2026-08-04T03:35:00+00:00,1.34309,1.3433,1.342725,1.342725,327
2026-08-04T03:40:00+00:00,1.34272,1.34273,1.342505,1.342575,177
2026-08-04T03:45:00+00:00,1.34258,1.34268,1.342545,1.34263,185
2026-08-04T03:50:00+00:00,1.342635,1.3428,1.34263,1.34279,168
2026-08-04T03:55:00+00:00,1.342775,1.34278,1.34259,1.342625,190
2026-08-04T02:00:00+00:00,1.34277,1.343015,1.34261,1.342625,279
2026-08-04T02:05:00+00:00,1.342635,1.342975,1.342575,1.342915,247
2026-08-04T02:10:00+00:00,1.342905,1.34317,1.34279,1.343045,247
2026-08-04T02:15:00+00:00,1.34305,1.34318,1.343035,1.343065,244
2026-08-04T02:20:00+00:00,1.34307,1.343125,1.342835,1.342835,267
2026-08-04T02:25:00+00:00,1.342845,1.34291,1.342615,1.34279,232
2026-08-04T02:30:00+00:00,1.342785,1.342905,1.3427,1.342785,302
2026-08-04T02:35:00+00:00,1.34279,1.34301,1.34278,1.34294,221
2026-08-04T02:40:00+00:00,1.34292,1.34302,1.3429,1.343005,274
2026-08-04T02:45:00+00:00,1.34301,1.343225,1.342975,1.343205,242
2026-08-04T02:50:00+00:00,1.3432,1.343285,1.34301,1.343015,322
2026-08-04T02:55:00+00:00,1.34301,1.343025,1.34267,1.342725,206
2026-08-04T00:00:00+00:00,1.34269,1.34291,1.342595,1.342805,399
2026-08-04T00:05:00+00:00,1.3428,1.343185,1.3427,1.34318,344
2026-08-04T00:10:00+00:00,1.34317,1.34322,1.342695,1.34273,352
2026-08-04T00:15:00+00:00,1.34274,1.3429,1.34268,1.34282,243
2026-08-04T00:20:00+00:00,1.342815,1.343035,1.342795,1.34296,237
2026-08-04T00:25:00+00:00,1.342955,1.34299,1.342835,1.342885,224
2026-08-04T00:30:00+00:00,1.34289,1.343175,1.34278,1.343125,351
2026-08-04T00:35:00+00:00,1.3431,1.343295,1.343055,1.34323,258
2026-08-04T00:40:00+00:00,1.343225,1.34323,1.343025,1.34313,193
2026-08-04T00:45:00+00:00,1.343135,1.343135,1.34282,1.34282,196
2026-08-04T00:50:00+00:00,1.342825,1.34294,1.34262,1.34289,523
2026-08-04T00:55:00+00:00,1.342895,1.34291,1.342385,1.34243,432
2026-08-04T01:00:00+00:00,1.342425,1.342425,1.342025,1.342205,511
2026-08-04T01:05:00+00:00,1.34222,1.342315,1.34209,1.34222,364
2026-08-04T01:10:00+00:00,1.342215,1.3425,1.342205,1.34236,294
2026-08-04T01:15:00+00:00,1.34237,1.342645,1.34234,1.34263,322
2026-08-04T01:20:00+00:00,1.342625,1.34267,1.34242,1.34262,211
2026-08-04T01:25:00+00:00,1.342615,1.34271,1.342455,1.342515,296
2026-08-04T01:30:00+00:00,1.342495,1.342935,1.342495,1.342905,407
2026-08-04T01:35:00+00:00,1.34291,1.34292,1.3427,1.342865,334
2026-08-04T01:40:00+00:00,1.342855,1.343125,1.342835,1.343115,264
2026-08-04T01:45:00+00:00,1.343105,1.343125,1.342885,1.342885,192
2026-08-04T01:50:00+00:00,1.342855,1.343015,1.342765,1.342915,194
2026-08-04T01:55:00+00:00,1.342925,1.342995,1.342775,1.342775,172
2026-08-04T04:00:00+00:00,1.342615,1.3427,1.34256,1.34258,224
2026-08-04T04:05:00+00:00,1.34256,1.34259,1.342395,1.342515,108
2026-08-04T04:10:00+00:00,1.34255,1.342565,1.342375,1.342515,98
2026-08-04T04:15:00+00:00,1.342525,1.342595,1.342515,1.342545,87
2026-08-04T04:20:00+00:00,1.342555,1.342595,1.342495,1.342595,65
2026-08-04T04:25:00+00:00,1.342575,1.342655,1.342475,1.342475,73
2026-08-04T04:30:00+00:00,1.342485,1.342585,1.342485,1.342505,85
2026-08-04T04:35:00+00:00,1.342515,1.342515,1.34238,1.342495,152
2026-08-04T04:40:00+00:00,1.342505,1.342535,1.342425,1.34243,98
2026-08-04T04:45:00+00:00,1.342425,1.342595,1.342425,1.342515,143
2026-08-04T04:50:00+00:00,1.34252,1.34263,1.342415,1.34261,91
2026-08-04T04:55:00+00:00,1.342605,1.342715,1.34258,1.342605,129
2026-08-04T05:00:00+00:00,1.34262,1.34262,1.34246,1.34257,161
2026-08-04T05:05:00+00:00,1.342565,1.34261,1.34242,1.342425,213
2026-08-04T05:10:00+00:00,1.34241,1.34244,1.34219,1.34221,162
2026-08-04T05:15:00+00:00,1.34222,1.342275,1.34211,1.342265,181
2026-08-04T05:20:00+00:00,1.34226,1.34248,1.342225,1.34247,240
2026-08-04T05:25:00+00:00,1.34246,1.342525,1.342435,1.342505,217
2026-08-04T05:30:00+00:00,1.34251,1.342685,1.34233,1.34236,272
2026-08-04T05:35:00+00:00,1.342365,1.34241,1.34215,1.342195,201
2026-08-04T05:40:00+00:00,1.34218,1.34224,1.34207,1.342135,157
2026-08-04T05:45:00+00:00,1.34214,1.34214,1.341975,1.342125,241
2026-08-04T05:50:00+00:00,1.34213,1.342225,1.342085,1.342165,189
2026-08-04T05:55:00+00:00,1.34217,1.34266,1.34216,1.342515,258
2026-08-04T06:00:00+00:00,1.34249,1.342545,1.34232,1.34248,274
2026-08-04T06:05:00+00:00,1.34246,1.34262,1.34232,1.34258,168
2026-08-04T06:10:00+00:00,1.34259,1.342775,1.342365,1.342775,327
2026-08-04T06:15:00+00:00,1.34278,1.34293,1.342585,1.342725,454
2026-08-04T06:20:00+00:00,1.342715,1.34323,1.342715,1.343105,276
2026-08-04T06:25:00+00:00,1.3431,1.343225,1.34276,1.342775,310
2026-08-04T06:30:00+00:00,1.34277,1.34321,1.3427,1.34313,266
2026-08-04T06:35:00+00:00,1.343155,1.343215,1.34296,1.34296,181
2026-08-04T06:40:00+00:00,1.342945,1.343,1.342725,1.34282,203
2026-08-04T06:45:00+00:00,1.34281,1.343,1.34272,1.3429,217
2026-08-04T06:50:00+00:00,1.34289,1.342925,1.342705,1.342705,210
2026-08-04T06:55:00+00:00,1.34271,1.343015,1.342705,1.342835,365
2026-08-04T07:00:00+00:00,1.34284,1.3433,1.34273,1.343295,502
2026-08-04T07:05:00+00:00,1.34327,1.34331,1.342895,1.34321,453
2026-08-04T07:10:00+00:00,1.343205,1.34333,1.343085,1.34318,311
2026-08-04T07:15:00+00:00,1.34317,1.34352,1.34311,1.34343,292
2026-08-04T07:20:00+00:00,1.343425,1.343895,1.34341,1.343875,346
2026-08-04T07:25:00+00:00,1.34387,1.34389,1.34329,1.343425,358
2026-08-04T07:30:00+00:00,1.34343,1.343745,1.343315,1.343655,430
2026-08-04T07:35:00+00:00,1.34366,1.34375,1.343345,1.34354,346
2026-08-04T07:40:00+00:00,1.34355,1.34363,1.343385,1.34343,229
2026-08-04T07:45:00+00:00,1.343435,1.343525,1.343215,1.3434,226
2026-08-04T07:50:00+00:00,1.343395,1.34383,1.343385,1.34373,213
2026-08-04T07:55:00+00:00,1.34375,1.34384,1.34359,1.343625,251
2026-08-04T08:00:00+00:00,1.34362,1.3439,1.34359,1.343745,295
2026-08-04T08:05:00+00:00,1.34376,1.34382,1.343495,1.34365,251
2026-08-04T08:10:00+00:00,1.343635,1.343635,1.3433,1.343415,224
2026-08-04T08:15:00+00:00,1.34342,1.34371,1.34337,1.343445,244
2026-08-04T08:20:00+00:00,1.343455,1.343675,1.343405,1.343515,257
2026-08-04T08:25:00+00:00,1.343525,1.34401,1.343295,1.34391,410
2026-08-04T08:30:00+00:00,1.3439,1.343915,1.343395,1.34364,323
2026-08-04T08:35:00+00:00,1.343645,1.3438,1.343415,1.343795,246
2026-08-04T08:40:00+00:00,1.34379,1.344095,1.34377,1.344035,261
2026-08-04T08:45:00+00:00,1.344045,1.34412,1.343595,1.34402,297
2026-08-04T08:50:00+00:00,1.344015,1.34414,1.343995,1.344025,300
2026-08-04T08:55:00+00:00,1.34402,1.34424,1.34393,1.344225,373
2026-08-04T09:00:00+00:00,1.34422,1.34426,1.3439,1.34392,266
2026-08-04T09:05:00+00:00,1.343925,1.34396,1.34362,1.34393,269
